6.6267 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EADF22B8E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EADF22B880>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1., 1., 1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EADF22B6D0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001EADF6C4430>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
42.8613 	EXP 	text_4: height = 0.07
42.8613 	EXP 	text_4: text = 'This is a cup or a hane.'
42.8613 	EXP 	image: autoDraw = True
42.8613 	EXP 	text_4: autoDraw = True
43.3111 	EXP 	Sound sound_1 started
43.3111 	EXP 	text: autoDraw = True
44.7962 	DATA 	Mouse: Left button down, pos=(1012,220)
44.8297 	EXP 	Sound sound_1 stopped
44.8297 	EXP 	Sound sound_1 paused
44.9493 	EXP 	Sound sound_2 reached end of file
44.9512 	DATA 	Mouse:  Left button up, pos=(1012,220)
44.9615 	EXP 	image: autoDraw = False
44.9615 	EXP 	text: autoDraw = False
44.9615 	EXP 	text_4: autoDraw = False
44.9615 	EXP 	image_2: image = 'NOUN-2-600DPI/2003-600.jpg'
44.9615 	EXP 	image_3: image = 'known_objects/cup.png'
44.9615 	EXP 	text_2: height = 0.05
44.9615 	EXP 	text_2: height = 0.05
44.9615 	EXP 	text_2: height = 0.05
44.9615 	EXP 	text_2: text = 'Choose the hane.'
44.9615 	EXP 	image_2: autoDraw = True
44.9615 	EXP 	image_3: autoDraw = True
44.9615 	EXP 	text_2: autoDraw = True
47.6115 	DATA 	Mouse: Left button down, pos=(359,573)
47.6278 	EXP 	image_2: autoDraw = False
47.6278 	EXP 	image_3: autoDraw = False
47.6278 	EXP 	text_2: autoDraw = False
47.6278 	EXP 	text_3: autoDraw = True
47.6788 	DATA 	Mouse:  Left button up, pos=(372,570)
48.1116 	EXP 	New trial (rep=0, index=8): OrderedDict([('condition', 'label'), ('image_shown', 'NOUN-2-600DPI/2017-600.jpg'), ('image_to_select1', 'NOUN-2-600DPI/2017-600.jpg'), ('image_to_select2', 'known_objects/wrench.png'), ('image1_label', 'jang'), ('image2_label', 'wrench'), ('text1', 'This is a jang.'), ('prompt1', 'Choose the Jang.'), ('audio_text', 'audio/audio_text/amp_normed/Jang.wav'), ('audio_prompt', 'audio/audio_prompt/amp_normed/Jang.wav')])
48.3643 	EXP 	Sound sound_1 reached end of file
48.3782 	EXP 	text_3: autoDraw = False
48.3782 	EXP 	text_3: autoDraw = False
48.3782 	EXP 	image: image = 'NOUN-2-600DPI/2017-600.jpg'
48.3782 	EXP 	text_4: height = 0.07
48.3782 	EXP 	text_4: height = 0.07
48.3782 	EXP 	text_4: height = 0.07
48.3782 	EXP 	text_4: text = 'This is a jang.'
48.3782 	EXP 	image: autoDraw = True
48.3782 	EXP 	text_4: autoDraw = True
48.6278 	EXP 	text: autoDraw = True
50.5780 	DATA 	Keypress: escape
50.7284 	EXP 	Metalinguistic Conjunctives: status = STOPPED
50.7445 	EXP 	image: autoDraw = False
50.7445 	EXP 	text: autoDraw = False
50.7445 	EXP 	text_4: autoDraw = False
50.7446 	EXP 	Metalinguistic Conjunctives: status = STOPPED
50.8588 	EXP 	window1: mouseVisible = True
